LMY47D	5.1.0	Nexus 5, Nexus 6, Nexus 7, Nexus 10, Nexus Player
LRX22L	5.0.2	Nexus 9
LRX22G	5.0.2	Nexus 7, Nexus 10
LRX22C	5.0.1	Nexus 4, Nexus 5, Nexus 6, Nexus 7, Nexus 9, Nexus 10
LRX21V	5.0.0	Nexus Player
LRX21T	5.0.0	Nexus 4
LRX21R	5.0.0	Nexus 9
LRX21Q	5.0.0	Nexus 9
LRX21P	5.0.0	Nexus 7, Nexus 10
LRX21O	5.0.0	Nexus 5, Nexus 6
LRX21M	5.0.0	Nexus Player
LRX21L	5.0.0	Nexus 9
KTU84Q	4.4.4	Nexus 5
KTU84P	4.4.4	Nexus 5, Nexus 7, Nexus 4, Nexus 10
KTU84M	4.4.3	Nexus 5
KTU84L	4.4.3	Nexus 7, Nexus 4, Nexus 10
KVT49L	4.4.2	Nexus 7
KOT49H	4.4.2	Nexus 5, Nexus 7, Nexus 4, Nexus 10
KOT49E	4.4.1	Nexus 5, Nexus 7, Nexus 4, Nexus 10
KRT16S	4.4	Nexus 7, Nexus 4, Nexus 10
KRT16M	4.4	Nexus 5
JLS36I	4.3.1	Nexus 7
JLS36C	4.3	Nexus 7
JSS15R	4.3	Nexus 7
JSS15Q	4.3	Nexus 7
JSS15J	4.3	Nexus 7
JSR78D	4.3	Nexus 7
JWR66Y	4.3	Galaxy Nexus, Nexus 7, Nexus 4, Nexus 10
JWR66V	4.3	Galaxy Nexus, Nexus 7, Nexus 4, Nexus 10
JWR66N	4.3	Galaxy Nexus, Nexus 7, Nexus 4, Nexus 10
JWR66L	4.3	Nexus 7
JDQ39E	4.2.2	Nexus 4
JDQ39B	4.2.2	Nexus 7
JDQ39	4.2.2	Galaxy Nexus, Nexus 7, Nexus 4, Nexus 10
JOP40G	4.2.1	Nexus 4
JOP40F	4.2.1	Nexus 10
JOP40D	4.2.1	Galaxy Nexus, Nexus 7, Nexus 4, Nexus 10
JOP40C	4.2	Galaxy Nexus, Nexus 7, Nexus 4, Nexus 10
JZO54K	4.1.2	Nexus S, Galaxy Nexus, Nexus 7
JRO03S	4.1.1	Nexus 7
JRO03R	4.1.1	Nexus S 4G
JRO03O	4.1.1	Galaxy Nexus
JRO03L	4.1.1	Nexus S
JRO03E	4.1.1	Nexus S
JRO03D	4.1.1	Nexus 7
JRO03C	4.1.1	Galaxy Nexus
IMM76K	4.0.4	Galaxy Nexus
IMM76I	4.0.4	Galaxy Nexus
IMM76D	4.0.4	Nexus S, Nexus S 4G, Galaxy Nexus
IML74K	4.0.3	Nexus S
